HueFqvz1oDU	2016 Lecture 07 Maps of Meaning: Part I: Osiris, Set, Isis and Horus
539UQF6eT6I	2016 Personality Lecture 09: Phenomenology: Heidegger, Binswanger, Boss
WjpV9mja3Wc	2016 Personality Lecture 08: Existentialism: Nietzsche, Dostoevsky and Social Hierarchy
mJI0hVV-5Vs	2016 Lecture 06 Maps of Meaning: Part I: The primordial narrative
3uJkd54p9dY	2016 Personality Lecture 07: Phenomenology and Carl Rogers
cFS6fPLQ024	2016 Lecture 05 Maps of Meaning: Part II: The brain, continued
ZHmklvx9oJ4	2016 Lecture 05: Maps of Meaning: Part I: Anomaly and the brain
BSh37_x5RNY	2016 Personality Lecture 06: Freud: An Overview
DjYqkPrCvXQ	2016 Lecture 04 Maps of Meaning: Anomaly
ux6TVYqdN-E	2016 Lecture 03 Maps of Meaning: Part I: The basic story and its transformations
DmpUQEDRIKA	2016 Lecture 03 Maps of Meaning: Part II: The basic story -- and its transformations
IO6NvcGKZ20	2016 Personality Lecture 05: Piaget, Segueing into Jung
REjUkEj1O_0	Slaying the Dragon Within Us
DtiRzQMgBDM	Psychology of Redemption in Christianity
G3fWuMQ5K8I	2016 Personality Lecture 04: Piaget Constructivism
RcmWssTLFv0	2016 Lecture 02 Maps of Meaning: Playable and non-playable games
PH67HpFD2Ew	2016 Personality Lecture 03: Mythological Elements of the Life Story -- and Initiation
ajtnhtEg76k	2016 Personality Lecture 02: Introduction and Overview (Part 2)
bjnvtRgpg6g	2016 Lecture 01 Maps of Meaning: Introduction and Overview
UGLsnu5RLe8	2016 Personality Lecture 01: Introduction and Overview (Part 1)
HeUjYzyh5v8	Music and the Patterns of Mind and World
0v3x0ev1URY	2015 Personality Lecture 22: Conclusion - Psychology and Belief
G7U9el_yVhI	2015 Maps of Meaning 11: Conclusion - The Hero / Part 2 (Jordan Peterson)
Q_2UYIuvDXI	2015 Maps of Meaning 11: Genesis II / Part 1 (Jordan Peterson)
5p5YEvi8CHQ	2015 Personality Lecture 21: Performance Prediction
35e5i6FQuMw	2015 Personality Lecture 20: Conscientiousness - Industriousness, Orderliness & Disgust
jIDqaCjpjD8	A History of Violence: CBC Ideas
P6rm0LrO9vU	2015 Personality Lecture 18: Openness - Creativity & Intelligence
sJVtAIIHxu0	2015 Maps of Meaning 10: Genesis I / Part 2 (Jordan Peterson)
Bj6HgQBNiZE	2015 Maps of Meaning 10: Culture & Anomaly / Part 1 (Jordan Peterson)
UgRaLmCOwYU	2015 Personality Lecture 17: Agreeableness - Aggression & Empathy
tIZb0YEcyNo	2015 Maps of Meaning 09b: Mythology: The Great Father / Part 2 (Jordan Peterson)
134BCxbMUlU	2015 Maps of Meaning 09a: Mythology: The Great Father / Part 1 (Jordan Peterson)
vt90JwDHh-Y	2015 Personality Lecture 16: Conscientiousness I - Industriousness & Disgust
RdNJTP6tYMs	2015 Personality Lecture 15: Biology & Traits: Limbic System & Lower Order Goals
w1scgquS2mo	2015 Maps of Meaning 08b: Mythology: The Great Mother / Part 2 (Jordan Peterson)
NOzjfqO6-K8	2015 Maps of Meaning 08a: Mythology: The Great Mother / Part 1 (Jordan Peterson)
wZnqLvLbLV0	2015 Personality Lecture 14:  Existentialism: Solzhenitsyn / Intro to Biology & Psychometrics
XY7a1RXMbHI	Lecture: 2015 Personality Lecture 13: Existentialism: Nazi Germany and the USSR
rnw4SXX7cGY	2015 Maps of Meaning 07b: Mythology: Chaos / Part 2 (Jordan Peterson)
44dcUoh0oT4	2015 Maps of Meaning 07a: Mythology: Chaos / Part 1 (Jordan Peterson)
SsoVhKo4UvQ	2015 Personality Lecture 12: Existentialism: Dostoevsky, Nietzsche, Kierkegaard
pzhsiOwZabM	013 Maps of Meaning: 13 The Force Within (TVO)
xrbPaCIm4yw	003 Maps of Meaning: 3 Becoming Like Gods (TVO)
dl0_mJrbPLQ	006 Maps of Meaning: 6 Submitting to Order (TVO)
0EWelXuo2JM	007 Maps of Meaning: 7 Contemplating Genesis (TVO)
0qz1ZKR4hkE	008 Maps of Meaning: 8 Dwelling on Paradise (TVO)
yOP4a7-EJPU	009 Maps of Meaning: 9 Becoming a Self (TVO)
w2pNqIdY_T0	010 Maps of Meaning: 10 Figuring Evil (TVO)
KtgThjIl1Ao	011 Maps of Meaning: 11 Losing Religion (TVO)
