pSB7EL8VTmU	JB Peterson and Akira the Don: Meaningwave/Lofi
RUo6Xz9asgw	We Make Stories Out of Totem Poles
o2bFzK2EdIo	Jamil Jivani: Author of "Why Young Men"
TVYDdZWUWlE	Conversations with John Anderson: Jordan Peterson and Dave Rubin
_xjP4fMwdLY	Commentaries on JB Peterson: Rebel Wisdom
LdtwgbHBTLs	Zizek vs Peterson: April 19
nlgG8C1GydA	Higher Ed & Our Cultural Inflection Point: JB Peterson/Stephen Blackwood
4XMdT2cF-ZM	Jordan Peterson Threatens Everything of Value In NZ
WrZDcEix7uk	Patreon Account Deletion
xWhuQOVTFGw	Interview with the grievance studies hoaxers
SYnCaCQe-sI	Comedians, canaries and coalmines
h8_OrrvaVVw	Goodbye to Patreon
ZwGDnSWmqhM	Take Aim, Even Badly
hKUffHXOb8U	Dr. Jordan B Peterson on Femsplainers
GWz1RDVoqw4	Patreon: Problem & Solution: Dave Rubin & Dr Jordan B Peterson
XvbtKAYdcZY	Sir Roger Scruton/Dr. Jordan B. Peterson: Apprehending the Transcendent
FUXcg9GWIIM	With Jocko Willink: The Catastrophe of the Utopian Soviet State
2eIpi0rpVf8	The Democrats: Apology and Promise
XJwEBizQgYI	Foreword to The Gulag Archipelago: 50th Anniversary
51IciCvDgBo	Encourage Your Children
bf9jBtA_LhA	Built not Bought: Comments on New Democrat Messaging
eqCNTopdBBs	The Coddling of the American Mind: Haidt/Lukianoff
YfdaAGZvYsA	AD Harris/Murray/Peterson Discussion: London
ZZI-FwSQRn8	AC Harris/Murray/Peterson Discussion: Dublin
BtkwF5qA6uE	AB Harris/Weinstein/Peterson Discussion: Vancouver
d-Z9EZE8kpo	AA Harris/Weinstein/Peterson Discussion: Vancouver
fBS537dKE9Q	Discussion: Sam Harris, the IDW and the left
nj9NEKisvB4	Gregg Hurwitz – An Invitation to the Intellectual Dark Web
t-lWMEZC_Uw	Former Australian Deputy PM John Anderson and I speak again
JyONgwyKEGA	Nina Paley: Animator Extraordinaire
6LLqWGn7e_k	Nina Paley: Death of the Firstborn Egyptians
PkNv4LFpGf4	The Lindsay Shepherd Affair: Update
PLrV1G1ENlA	Thorbjorn Thordarson | Dr. Jordan B Peterson: Iceland's Channel 2
7kUuURByaXc	Enlightenment now: Steven Pinker/JB Peterson
VIuX1pO70UA	An Animated Intro to Truth, Order and Chaos
v5O_FLUWYmg	The absolute necessity of fathers: Warren Farrell/JB Peterson
U4NijLf3M-A	Australia's John Anderson & Dr. Jordan B Peterson: In Conversation
OUs72-WqmwI	Quillette: Discussion with Founder/Editor Claire Lehmann
64MlP8mbJPo	With Australia's top radio host Neil Mitchell in studio...
B74WowudoFg	Swedes want to know: take 2: Ivar Arpi interviews me again
xtf4FDlpPZ8	The Master and His Emissary: Conversation with Dr. Iain McGilchrist
zQCTeGKHsVc	Documentary: A Glitch in the Matrix (David Fuller production)
wVbh1E2ICak	Hello to my Chinese Viewers and Happy New Year:
oRh9bqvmjS0	With Russell Brand...
Mff2I8Jzjl0	Heavens on Earth with skeptical Dr. Michael Shermer
P2cAmxV5OoY	5 Minute Teaser - Jordan Peterson Responds to Channel 4 Interview Controversy
YWVmDSMl30s	Deconstruction: The Lindsay Shepherd Affair
q14VhGQIUxg	Swedes want to know....
vhlL7IjaZNI	Drinking from the Firehose with Howard Bloom
FS5sR1WytNQ	The New Media: My Experience and More
RBl5PfA5HfU	Ayaan Hirsi Ali: Islam--Mecca vs Medina?
YGC3y1BPzwA	A Call to Rebellion for Ontario Legal Professionals
4IdzC6mJzLA	20 Minutes on UnderstandMyself.com
v-hIVnmUdXM	Modern Times: Camille Paglia & Jordan B Peterson
SEDuVF7kiPU	2017/08/08: James Damore and his Google Memo on Diversity  (complete)
agU-mHFcXdw	2017/08/08: James Damore and his Google Memo on Diversity
Nyw4rTywyY0	2017/06/15: 12 principles for a 21st century conservatism
KnIAAkSNtqo	2017/05/17: Senate hearing on Bill C16
D9bS7BCKRk8	2017/05/06: The Indiegogo campaign: last day
k-dYktgmNUg	2017/03/09: National Gallery Talk: Creativity -- and Protest
VMMYFx47MPw	2017/04/06: Dr Jordan B Peterson Chats with Some Black Guy
hJ4JEypNH2s	Dialogue: Great U Texas Austin Psych Prof JW Pennebaker
8ABa4RdNPxU	2017/02/11: An incendiary discussion at Ryerson U
i5qeouQwb1w	Composer Samuel Andreyev
wKOnJsxwTbI	Author Gregg Hurwitz
1VwpwP_fIqY	2017/02/14: A Picture of Mohamed
ZmZK9W4V1Rc	An open letter to Sam Harris
5pH-QZG9OpQ	If you've found this video, go here: https://youtu.be/kYYJlNbV1OM
YnEFt20qe0o	2016/12/31: A New Years Letter to the World
mbAKQrClN8A	2016/12/02: Thank you, Lord Black - really - but you're wrong
W2u62u4entc	2016/10/05: Part 3: The PC Game (and some counter-tactics)
2fUY046brGM	Existentialism Talk
MCOw0eJ84d8	45 minutes on a single paragraph of Nietzsche's Beyond Good & Evil
vjDdFXwITXo	Pathological Belief Systems
OunyV_HgGBc	Pay Attention
0j1XQoAwG2I	Potential: Jordan Peterson TEDxUofT
HeUjYzyh5v8	Music and the Patterns of Mind and World
qa9u5t3C0AI	Intro to SelfAuthoring
jIDqaCjpjD8	A History of Violence: CBC Ideas
N6KQpw945GY	Say No to Happiness: CBC Ideas
IrtEH5BYpmE	The Death of the Oceans (2)
wE29TM_YtR0	The Death of the Oceans (1)
_SFnC78K6QE	In Conversation with our Dreamers, Renegades, Visionaries: Dr. Jordan B. Peterson [Extended]
MLp7vWB0TeY	Tragedy vs Evil
A5216ZJVbVs	What Matters
